BUYER_ID,SECTION,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003998229,PERSONAL CARE,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003998229,SANITARY ADULT,3323 - PANTYLINERS,3323 - PANTYLINERS,NO_SWITCH,PROMO
MEM_9990010003998229,TOOTH CARE,3272 - TOOTH PASTE,3272 - TOOTH PASTE,NO_SWITCH,PROMO
MEM_9990010004063695,CHILLER,1154 - RTD TEA,2023 - TETRAPACK LIQUID MILK,SWITCH,NON PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2222 - COOKIES BISCUIT,SWITCH,PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2222 - COOKIES BISCUIT,SWITCH,NON PROMO
MEM_9990010004075519,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,PROMO
MEM_9990010004075519,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010004075519,BREAKFAST,1321 - CEREAL,1321 - CEREAL,NO_SWITCH,PROMO
MEM_9990010004075519,CHILLER,2023 - TETRAPACK LIQUID MILK,1115 - REMEDIES DRINK,SWITCH,PROMO
MEM_9990010004075519,HOUSE HOLD,3624 - GEL AIR FRESHENER,3721 - BLEACH,SWITCH,PROMO
MEM_9990010004075519,MEJA KASIR,2332 - BLOCK CHOCOLATE,2321 - POCKET CANDY,SWITCH,PROMO
MEM_9990010004075519,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010004075519,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010004075519,SNACK,2213 - EXTRUDED & PELLET,2213 - EXTRUDED & PELLET,NO_SWITCH,PROMO
MEM_9990010004075519,STAPLE NEED,1915 - PASTA,1721 - CHILLI,SWITCH,PROMO
