BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
BT21,5911A - HAIR ACCESSORIES IMPORT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,1.5,0.33,-0.78,1.0,1.0,0.0,27967.0,28900.0,0.0334,27967.0,28900.0,0.0334,3.0,1.0,-0.6667
DISNEY,5911A - HAIR ACCESSORIES IMPORT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,,1.0,,,0.33,,,1.0,,,11100.0,,,11100.0,,,1.0,
FROZEN,5911A - HAIR ACCESSORIES IMPORT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,2.5,0.33,-0.868,1.0,1.0,0.0,14900.0,15300.0,0.0268,14900.0,15300.0,0.0268,5.0,1.0,-0.8
PRINCESS,5911A - HAIR ACCESSORIES IMPORT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,11300.0,11300.0,0.0,11300.0,11300.0,0.0,1.0,1.0,0.0
AIRPRO,4741A - CAR AIR FRESHENER GEL,4741 - CAR AIR FRESHENER,AIR FRESHNER,2.0,,,0.5,,,1.0,,,78600.0,,,78600.0,,,1.0,,
ALFA,4741A - CAR AIR FRESHENER GEL,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.56,1.51,-0.0321,78.5,31.0,-0.6051,1.03,1.03,0.0,12016.0,11731.0,-0.0237,12376.0,12083.0,-0.0237,152.0,90.0,-0.4079
ALFAMART,4741A - CAR AIR FRESHENER GEL,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.45,1.53,0.0552,39.0,19.67,-0.4956,1.04,1.04,0.0,11682.0,11810.0,0.011,12149.0,12282.0,0.0109,75.0,57.0,-0.24
GLADE,4741A - CAR AIR FRESHENER GEL,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.28,1.11,-0.1328,39.5,21.0,-0.4684,1.13,1.03,-0.0885,16562.0,14525.0,-0.123,18715.0,14961.0,-0.2006,70.0,61.0,-0.1286
STELLA,4741A - CAR AIR FRESHENER GEL,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.1,1.11,0.0091,54.0,33.67,-0.3765,1.02,1.02,0.0,24544.0,25079.0,0.0218,25035.0,25581.0,0.0218,106.0,99.0,-0.066
AIRPRO,4741B - CAR AIR FRESHENER PAPPER,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.36,,,35.0,,,1.09,,,19950.0,,,21746.0,,,64.0,,
