BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ORONAMIN,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.3,1.38,0.0615,5.0,2.67,-0.466,2.5,1.0,-0.6,8970.0,9488.0,0.0577,22425.0,9488.0,-0.5769,4.0,8.0,1.0
YOU C1000,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.42,1.66,0.169,194.5,116.67,-0.4002,1.16,1.17,0.0086,11001.0,13113.0,0.192,12761.0,15342.0,0.2023,336.0,298.0,-0.1131
HEMAVITON,1116B - VITAMIN DRINK 300-500ML,1116 - VITAMIN DRINK,CHILLER,1.63,1.31,-0.1963,15.0,16.0,0.0667,1.2,1.23,0.025,12397.0,10010.0,-0.1925,14876.0,12312.0,-0.1724,25.0,39.0,0.56
HEAVENLY BLUSH,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.0,,,1.0,,,1.0,,,12700.0,,,12700.0,,,2.0,,
INDOMILK,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,,1.32,,,22.67,,,1.1,,,8603.0,,,9463.0,,,62.0,
KIN,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.48,1.17,-0.2095,12.5,6.0,-0.52,1.19,1.12,-0.0588,14652.0,11550.0,-0.2117,17436.0,12936.0,-0.2581,21.0,16.0,-0.2381
BINTANG,1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,1.59,3.32,1.0881,8.5,8.33,-0.02,1.42,1.19,-0.162,14676.0,30868.0,1.1033,20840.0,36733.0,0.7626,12.0,21.0,0.75
GREEN SANDS,1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,1.39,1.41,0.0144,11.5,9.0,-0.2174,1.28,1.04,-0.1875,10213.0,10152.0,-0.006,13073.0,10558.0,-0.1924,18.0,26.0,0.4444
GROOVY,1118B - CARBONATED MALT PACK,1118 - CARBONATED MALT,CHILLER,1.0,1.0,0.0,0.5,1.33,1.66,1.0,1.0,0.0,7900.0,8200.0,0.038,7900.0,8200.0,0.038,1.0,4.0,3.0
CAP PANDA,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.22,1.22,0.0,34.5,20.0,-0.4203,1.23,1.33,0.0813,9329.0,9378.0,0.0053,11475.0,12473.0,0.087,56.0,45.0,-0.1964
DELMONTE,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.3,1.24,-0.0462,25.0,11.33,-0.5468,1.43,1.21,-0.1538,14082.0,13141.0,-0.0668,20137.0,15901.0,-0.2104,35.0,28.0,-0.2
YEO'S,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.67,,,3.0,,,1.2,,,12167.0,,,14600.0,,,5.0,,
ULTRA,1151B - JUICE TETRAPACK 125-150ML,1151 - RTD JUICE,CHILLER,1.2,1.53,0.275,10.0,6.33,-0.367,1.43,1.27,-0.1119,4930.0,6189.0,0.2554,7050.0,7860.0,0.1149,14.0,15.0,0.0714
NUTRI SARI,1151C - JUICE TETRAPACK 200ML,1151 - RTD JUICE,CHILLER,1.4,1.17,-0.1643,7.5,2.0,-0.7333,1.15,1.0,-0.1304,11900.0,9917.0,-0.1666,13685.0,9917.0,-0.2753,13.0,6.0,-0.5385
ABC,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.38,1.93,0.3986,24.0,9.0,-0.625,1.09,1.42,0.3028,7677.0,10659.0,0.3884,8368.0,15136.0,0.8088,44.0,19.0,-0.5682
BUAVITA,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.35,2.39,0.7704,26.0,22.33,-0.1412,1.16,1.08,-0.069,12637.0,22203.0,0.757,14659.0,23979.0,0.6358,45.0,62.0,0.3778
ULTRA,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.38,1.47,0.0652,18.5,11.33,-0.3876,1.37,1.17,-0.146,8089.0,8594.0,0.0624,11082.0,10055.0,-0.0927,27.0,29.0,0.0741
BUAVITA,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.2,1.0,-0.1667,2.5,1.0,-0.6,1.0,1.0,0.0,39480.0,32567.0,-0.1751,39480.0,32567.0,-0.1751,5.0,3.0,-0.4
MINUTE MAID,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.5,1.33,-0.1133,5.0,2.0,-0.6,1.43,1.0,-0.3007,23610.0,21200.0,-0.1021,33762.0,21200.0,-0.3721,7.0,6.0,-0.1429
