SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,9.14,4.22,-0.5383,408.5,176.67,-0.5675,1.25,1.22,-0.024,25374.0,10621.0,-0.5814,31718.0,12958.0,-0.5915,651.0,434.0,-0.3333
1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,3.53,2.17,-0.3853,3112.0,2115.33,-0.3203,1.45,1.51,0.0414,11303.0,7530.0,-0.3338,16389.0,11370.0,-0.3062,4288.0,4194.0,-0.0219
1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,2.63,1.54,-0.4144,2031.5,811.33,-0.6006,1.6,1.48,-0.075,16179.0,9905.0,-0.3878,25886.0,14659.0,-0.4337,2543.0,1649.0,-0.3516
1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.89,2.2,-0.2388,426.0,223.0,-0.4765,1.29,1.26,-0.0233,16468.0,12819.0,-0.2216,21244.0,16152.0,-0.2397,662.0,531.0,-0.1979
1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.55,1.27,-0.1806,159.5,77.33,-0.5152,1.14,1.27,0.114,13075.0,11090.0,-0.1518,14905.0,14084.0,-0.0551,280.0,183.0,-0.3464
1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.58,1.33,-0.1582,332.0,175.33,-0.4719,1.2,1.15,-0.0417,10225.0,9216.0,-0.0987,12270.0,10598.0,-0.1363,555.0,458.0,-0.1748
1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.43,1.25,-0.1259,947.0,374.67,-0.6044,1.19,1.17,-0.0168,14487.0,11707.0,-0.1919,17240.0,13697.0,-0.2055,1585.0,964.0,-0.3918
1114D - ISOTONIC DRINK CAN 330ML,1114 - ISOTONIC DRINK,CHILLER,1.44,1.15,-0.2014,25.0,11.0,-0.56,1.04,1.0,-0.0385,9914.0,8036.0,-0.1894,10311.0,8036.0,-0.2206,48.0,33.0,-0.3125
1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.13,1.04,-0.0796,119.0,46.67,-0.6078,1.14,1.08,-0.0526,21683.0,16489.0,-0.2395,24719.0,17808.0,-0.2796,208.0,130.0,-0.375
1114F - ISOTONIC DRINK PET 2L,1114 - ISOTONIC DRINK,CHILLER,1.06,1.04,-0.0189,55.5,15.67,-0.7177,1.14,1.15,0.0088,25651.0,25268.0,-0.0149,29242.0,29058.0,-0.0063,97.0,41.0,-0.5773
