kd_store,section,kd_section,kd_variant,plano_group_final,category_a,category_b,period_flag,trans_a,trans_a_pm,trans_b,trans_b_pm,trans_ab,support_ratio,total_transactions,avg_qty_a_when_pair,avg_qty_b_when_pair
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6111 - PACK EGG (NEGERI),6121 - PACK EGG (KAMPUNG),BEFORE,33,16.50,21,10.50,2,0.001309,1528,6.00,6.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,1113 - MINERAL WATER,BEFORE,312,156.00,69,34.50,1,0.000654,1528,10.00,1.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,1119 - MINERAL WATER GALON,BEFORE,312,156.00,1148,574.00,36,0.023560,1528,10.77,1.26
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,6111 - PACK EGG (NEGERI),BEFORE,312,156.00,33,16.50,3,0.001963,1528,10.00,6.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,6121 - PACK EGG (KAMPUNG),BEFORE,312,156.00,21,10.50,4,0.002618,1528,12.50,7.50
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6121 - PACK EGG (KAMPUNG),1119 - MINERAL WATER GALON,BEFORE,21,10.50,1148,574.00,4,0.002618,1528,9.00,1.75
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6121 - PACK EGG (KAMPUNG),6111 - PACK EGG (NEGERI),BEFORE,21,10.50,33,16.50,2,0.001309,1528,6.00,6.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6121 - PACK EGG (KAMPUNG),6112 - BULKY EGG,BEFORE,21,10.50,312,156.00,4,0.002618,1528,7.50,12.50
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1121 - DESSERT,2023 - TETRAPACK LIQUID MILK,AFTER,12,4.00,300,100.00,1,0.002747,364,2.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1141 - SYRUP,1142 - SQUASH,AFTER,13,4.33,11,3.67,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1142 - SQUASH,1141 - SYRUP,AFTER,11,3.67,13,4.33,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1142 - SQUASH,1154 - RTD TEA,AFTER,11,3.67,12,4.00,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1154 - RTD TEA,1142 - SQUASH,AFTER,12,4.00,11,3.67,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1154 - RTD TEA,2023 - TETRAPACK LIQUID MILK,AFTER,12,4.00,300,100.00,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2023 - TETRAPACK LIQUID MILK,1121 - DESSERT,AFTER,300,100.00,12,4.00,1,0.002747,364,1.00,2.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2023 - TETRAPACK LIQUID MILK,1154 - RTD TEA,AFTER,300,100.00,12,4.00,1,0.002747,364,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1115 - REMEDIES DRINK,2023 - TETRAPACK LIQUID MILK,BEFORE,23,11.50,756,378.00,3,0.003417,878,1.33,1.33
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1121 - DESSERT,1141 - SYRUP,BEFORE,31,15.50,12,6.00,1,0.001139,878,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1121 - DESSERT,1144 - POWDER DRINK,BEFORE,31,15.50,4,2.00,1,0.001139,878,1.00,1.00
1ML5,BEVERAGES,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1121 - DESSERT,1154 - RTD TEA,BEFORE,31,15.50,46,23.00,3,0.003417,878,2.00,3.67
