BUYER_ID,SECTION,BRAND,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010007213573,BREAD CORNER (BC),SARI ROTI,6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010007213573,HOUSE HOLD,EKONOMI,3516 - DISHWASHING CLEANER,3516 - DISHWASHING CLEANER,NO_SWITCH,PROMO
MEM_9990010007213573,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010007213573,HOUSE HOLD,WIPOL,3511 - FLOOR CLEANER,3511 - FLOOR CLEANER,NO_SWITCH,PROMO
MEM_9990010007213573,PERSONAL CARE,NUVO,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010007213573,PERSONAL CARE,ZEN,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010007213573,STAPLE NEED,GULAVIT,1512 - SUGAR,1512 - SUGAR,NO_SWITCH,NON PROMO
MEM_9990010007213573,STAPLE NEED,SASA,1625 - COCONUT MILK,1625 - COCONUT MILK,NO_SWITCH,PROMO
MEM_9990010007213573,STAPLE NEED,SUNCO,1521 - PALM COOKING OIL,1521 - PALM COOKING OIL,NO_SWITCH,PROMO
MEM_9990010007710019,BCTB (FLOOR),ALFAMART,6111 - PACK EGG (NEGERI),6111 - PACK EGG (NEGERI),NO_SWITCH,NON PROMO
MEM_9990010007710019,BEVERAGES,ULTRA,2023 - TETRAPACK LIQUID MILK,1154 - RTD TEA,SWITCH,NON PROMO
MEM_9990010007710019,BEVERAGES,ULTRA,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010007710019,BISC & CONFECTIONARY,MINTZ,2323 - BAG CANDY,2323 - BAG CANDY,NO_SWITCH,PROMO
MEM_9990010007710019,BREAKFAST,TONGTJI,1212 - BAG TEA,1212 - BAG TEA,NO_SWITCH,NON PROMO
MEM_9990010007710019,HOUSE HOLD,BOOM,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010007710019,HOUSE HOLD,KISPRAY,3724 - IRONING,3724 - IRONING,NO_SWITCH,NON PROMO
MEM_9990010007710019,HOUSE HOLD,SOKLIN,3723 - DILUTE FABRIC CONDITIONER,3714 - LIQUID DETERGENT,SWITCH,PROMO
MEM_9990010007710019,HOUSE HOLD,SOKLIN,3723 - DILUTE FABRIC CONDITIONER,3723 - DILUTE FABRIC CONDITIONER,NO_SWITCH,PROMO
MEM_9990010007710019,MEJA KASIR,ABC,4111 - ALKALINE,4111 - ALKALINE,NO_SWITCH,NON PROMO
MEM_9990010007710019,MEJA KASIR,CADBURY,2332 - BLOCK CHOCOLATE,2332 - BLOCK CHOCOLATE,NO_SWITCH,NON PROMO
MEM_9990010007710019,MEJA KASIR,SILVER QUEEN,2332 - BLOCK CHOCOLATE,2332 - BLOCK CHOCOLATE,NO_SWITCH,NON PROMO
MEM_9990010007710019,MISC & STATIONARY,ME-O,4311 - PET FOODS & ACCESSORIES,4311 - PET FOODS & ACCESSORIES,NO_SWITCH,NON PROMO
MEM_9990010007710019,PERSONAL CARE,HEAD & SHOULDER,3211 - SHAMPOO,3211 - SHAMPOO,NO_SWITCH,PROMO
MEM_9990010007710019,PERSONAL CARE,PANTENE,3211 - SHAMPOO,3211 - SHAMPOO,NO_SWITCH,PROMO
MEM_9990010007710019,PERSONAL CARE,PANTENE,3211 - SHAMPOO,3213 - CONDITIONER,SWITCH,PROMO
